title,prompt
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في التاريخ في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية التاريخ وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في التاريخ واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن التاريخ تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في التاريخ مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في التاريخ.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن التاريخ وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم التاريخ للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس التاريخ ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في التاريخ ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في التاريخ.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في التاريخ بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس التاريخ وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن التاريخ يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس التاريخ باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم التاريخ بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم التاريخ.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول التاريخ ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع التاريخ.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في التاريخ.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول التاريخ.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس التاريخ قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس التاريخ.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب التاريخ.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة التاريخ.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الجغرافيا في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الجغرافيا وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الجغرافيا واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الجغرافيا تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الجغرافيا مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الجغرافيا.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الجغرافيا وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الجغرافيا للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الجغرافيا ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الجغرافيا ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الجغرافيا.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الجغرافيا بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الجغرافيا وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الجغرافيا يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الجغرافيا باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الجغرافيا بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الجغرافيا.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الجغرافيا ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الجغرافيا.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الجغرافيا.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الجغرافيا.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الجغرافيا قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الجغرافيا.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الجغرافيا.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الجغرافيا.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في العلوم في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية العلوم وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في العلوم واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن العلوم تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في العلوم مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في العلوم.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن العلوم وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم العلوم للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس العلوم ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في العلوم ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في العلوم.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في العلوم بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس العلوم وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن العلوم يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس العلوم باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم العلوم بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم العلوم.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول العلوم ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع العلوم.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في العلوم.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول العلوم.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس العلوم قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس العلوم.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب العلوم.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة العلوم.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الرياضيات في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الرياضيات وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الرياضيات واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الرياضيات تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الرياضيات مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الرياضيات.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الرياضيات وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الرياضيات للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الرياضيات ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الرياضيات ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الرياضيات.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الرياضيات بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الرياضيات وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الرياضيات يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الرياضيات باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الرياضيات بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الرياضيات.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الرياضيات ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الرياضيات.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الرياضيات.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الرياضيات.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الرياضيات قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الرياضيات.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الرياضيات.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الرياضيات.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الأدب العربي في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الأدب العربي وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الأدب العربي واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الأدب العربي تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الأدب العربي مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الأدب العربي.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الأدب العربي وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الأدب العربي للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الأدب العربي ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الأدب العربي ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الأدب العربي.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الأدب العربي بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الأدب العربي وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الأدب العربي يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الأدب العربي باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الأدب العربي بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الأدب العربي.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الأدب العربي ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الأدب العربي.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الأدب العربي.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الأدب العربي.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الأدب العربي قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الأدب العربي.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الأدب العربي.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الأدب العربي.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في اللغة الإنجليزية في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية اللغة الإنجليزية وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في اللغة الإنجليزية واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن اللغة الإنجليزية تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في اللغة الإنجليزية مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في اللغة الإنجليزية.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن اللغة الإنجليزية وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم اللغة الإنجليزية للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس اللغة الإنجليزية ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في اللغة الإنجليزية ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في اللغة الإنجليزية.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في اللغة الإنجليزية بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس اللغة الإنجليزية وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن اللغة الإنجليزية يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس اللغة الإنجليزية باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم اللغة الإنجليزية بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم اللغة الإنجليزية.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول اللغة الإنجليزية ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع اللغة الإنجليزية.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في اللغة الإنجليزية.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول اللغة الإنجليزية.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس اللغة الإنجليزية قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس اللغة الإنجليزية.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب اللغة الإنجليزية.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة اللغة الإنجليزية.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الكيمياء في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الكيمياء وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الكيمياء واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الكيمياء تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الكيمياء مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الكيمياء.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الكيمياء وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الكيمياء للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الكيمياء ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الكيمياء ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الكيمياء.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الكيمياء بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الكيمياء وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الكيمياء يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الكيمياء باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الكيمياء بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الكيمياء.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الكيمياء ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الكيمياء.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الكيمياء.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الكيمياء.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الكيمياء قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الكيمياء.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الكيمياء.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الكيمياء.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الفيزياء في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الفيزياء وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الفيزياء واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الفيزياء تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الفيزياء مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الفيزياء.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الفيزياء وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الفيزياء للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الفيزياء ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الفيزياء ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الفيزياء.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الفيزياء بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الفيزياء وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الفيزياء يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الفيزياء باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الفيزياء بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الفيزياء.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الفيزياء ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الفيزياء.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الفيزياء.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الفيزياء.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الفيزياء قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الفيزياء.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الفيزياء.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الفيزياء.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الأحياء في 5 نقاط رئيسية.
