title,prompt
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الأدب العربي وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الأدب العربي واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الأدب العربي تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الأدب العربي مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الأدب العربي.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الأدب العربي وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الأدب العربي للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الأدب العربي ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الأدب العربي ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الأدب العربي.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الأدب العربي بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الأدب العربي وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الأدب العربي يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الأدب العربي باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الأدب العربي بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الأدب العربي.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الأدب العربي ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الأدب العربي.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الأدب العربي.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الأدب العربي.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الأدب العربي قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الأدب العربي.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الأدب العربي.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الأدب العربي.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في اللغة الإنجليزية في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية اللغة الإنجليزية وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في اللغة الإنجليزية واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن اللغة الإنجليزية تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في اللغة الإنجليزية مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في اللغة الإنجليزية.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن اللغة الإنجليزية وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم اللغة الإنجليزية للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس اللغة الإنجليزية ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في اللغة الإنجليزية ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في اللغة الإنجليزية.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في اللغة الإنجليزية بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس اللغة الإنجليزية وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن اللغة الإنجليزية يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس اللغة الإنجليزية باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم اللغة الإنجليزية بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم اللغة الإنجليزية.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول اللغة الإنجليزية ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع اللغة الإنجليزية.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في اللغة الإنجليزية.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول اللغة الإنجليزية.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس اللغة الإنجليزية قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس اللغة الإنجليزية.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب اللغة الإنجليزية.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة اللغة الإنجليزية.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الكيمياء في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الكيمياء وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الكيمياء واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الكيمياء تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الكيمياء مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الكيمياء.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الكيمياء وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الكيمياء للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الكيمياء ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الكيمياء ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الكيمياء.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الكيمياء بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الكيمياء وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الكيمياء يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الكيمياء باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الكيمياء بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الكيمياء.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الكيمياء ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الكيمياء.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الكيمياء.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الكيمياء.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الكيمياء قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الكيمياء.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الكيمياء.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الكيمياء.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الفيزياء في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الفيزياء وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الفيزياء واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الفيزياء تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الفيزياء مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الفيزياء.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الفيزياء وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الفيزياء للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الفيزياء ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الفيزياء ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الفيزياء.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الفيزياء بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الفيزياء وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الفيزياء يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الفيزياء باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الفيزياء بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الفيزياء.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الفيزياء ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الفيزياء.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الفيزياء.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الفيزياء.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الفيزياء قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الفيزياء.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الفيزياء.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الفيزياء.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في الأحياء في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية الأحياء وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في الأحياء واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن الأحياء تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في الأحياء مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في الأحياء.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن الأحياء وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم الأحياء للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس الأحياء ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في الأحياء ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في الأحياء.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في الأحياء بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس الأحياء وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن الأحياء يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس الأحياء باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم الأحياء بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم الأحياء.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول الأحياء ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع الأحياء.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في الأحياء.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول الأحياء.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس الأحياء قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس الأحياء.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب الأحياء.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة الأحياء.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في التربية الإسلامية في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية التربية الإسلامية وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في التربية الإسلامية واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن التربية الإسلامية تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في التربية الإسلامية مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في التربية الإسلامية.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن التربية الإسلامية وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم التربية الإسلامية للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس التربية الإسلامية ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في التربية الإسلامية ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في التربية الإسلامية.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في التربية الإسلامية بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس التربية الإسلامية وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن التربية الإسلامية يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس التربية الإسلامية باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم التربية الإسلامية بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم التربية الإسلامية.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول التربية الإسلامية ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع التربية الإسلامية.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في التربية الإسلامية.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول التربية الإسلامية.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس التربية الإسلامية قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس التربية الإسلامية.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب التربية الإسلامية.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة التربية الإسلامية.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في التربية الوطنية في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية التربية الوطنية وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في التربية الوطنية واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن التربية الوطنية تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في التربية الوطنية مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في التربية الوطنية.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن التربية الوطنية وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم التربية الوطنية للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس التربية الوطنية ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في التربية الوطنية ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في التربية الوطنية.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في التربية الوطنية بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس التربية الوطنية وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن التربية الوطنية يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس التربية الوطنية باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم التربية الوطنية بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم التربية الوطنية.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول التربية الوطنية ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع التربية الوطنية.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في التربية الوطنية.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول التربية الوطنية.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس التربية الوطنية قبل الامتحان.
اكتب نصاً يشرح السياسات,اكتب نصاً يشرح السياسات والإجراءات المتبعة عند تدريس التربية الوطنية.
اكتب وصفاً لمشروع بحثي,اكتب وصفاً لمشروع بحثي مختصر يتناول أحد جوانب التربية الوطنية.
انشئ خطاباً توجيهياً للطلاب,انشئ خطاباً توجيهياً للطلاب يوضح خطوات وأهمية دراسة التربية الوطنية.
ألخِّص المحتوى الرئيسي في,ألخِّص المحتوى الرئيسي في التربية الفنية في 5 نقاط رئيسية.
اكتب مقالاً تحليلياً يتناول,اكتب مقالاً تحليلياً يتناول أهمية التربية الفنية وتأثيره على المجتمع.
قارن بين المفاهيم الأساسية,قارن بين المفاهيم الأساسية في التربية الفنية واربطها بأمثلة واقعية.
انشئ خطة دراسية لدرس,انشئ خطة دراسية لدرس عن التربية الفنية تشمل الأهداف والأنشطة والتقييم.
اكتب أسئلة اختيار من,اكتب أسئلة اختيار من متعدد (4 خيارات) حول المفاهيم الجوهرية في التربية الفنية مع تمييز الإجابات الصحيحة.
صياغة 5 أسئلة صح,صياغة 5 أسئلة صح أو خطأ تتعلق بالنقاط الرئيسية في التربية الفنية.
حدد المفردات الأساسية في,حدد المفردات الأساسية في نص عن التربية الفنية وقدم تعريفاً مختصراً لكل منها.
صمم نشاطاً تفاعلياً لتعليم,صمم نشاطاً تفاعلياً لتعليم التربية الفنية للطلاب، موضحاً الأدوات والمواد اللازمة.
اكتب فقرة تمهيدية تشرح,اكتب فقرة تمهيدية تشرح الهدف التعليمي من درس التربية الفنية ومدته.
انشئ بطاقات تعليمية (flashcards),انشئ بطاقات تعليمية (flashcards) تضم 10 مصطلحات أساسية في التربية الفنية ومعانيها.
اكتب أسئلة نقاشية مفتوحة,اكتب أسئلة نقاشية مفتوحة حول الجوانب النقدية في التربية الفنية.
صَمّم اختباراً قصيراً من,صَمّم اختباراً قصيراً من 5 أسئلة في التربية الفنية بنوعي الأسئلة (اختيار من متعدد وصح أو خطأ).
اكتب خاتمة تلخص أهم,اكتب خاتمة تلخص أهم ما تناولناه في درس التربية الفنية وتقدم توصيات للتعلم المستقبلي.
انشئ ملخصاً تنفيذياً (150–200,انشئ ملخصاً تنفيذياً (150–200 كلمة) عن التربية الفنية يلائم تقريراً إدارياً.
حدد الأهداف التعليمية لدرس,حدد الأهداف التعليمية لدرس التربية الفنية باستخدام معايير SMART.
اكتب مقالاً قصيراً (200–250,اكتب مقالاً قصيراً (200–250 كلمة) يشرح مفهوم التربية الفنية بأسلوب مبسط.
اقترح ثلاث مشاريع تطبيقية,اقترح ثلاث مشاريع تطبيقية تُعزز فهم الطلاب لمفهوم التربية الفنية.
قم بتحليل صوتي (tone),قم بتحليل صوتي (tone) نص يتناول التربية الفنية ووضح ما يناسبه من أسلوب عرض.
اكتب خطة تقييم تشمل,اكتب خطة تقييم تشمل أدوات تقييم متنوعة لموضوع التربية الفنية.
ارسم خريطة ذهنية نصية,ارسم خريطة ذهنية نصية توضح العلاقات بين المفاهيم الأساسية في التربية الفنية.
اكتب فقرة تقارن بين,اكتب فقرة تقارن بين آراء مختلف العلماء حول التربية الفنية.
صِغ قائمة بالأسئلة التي,صِغ قائمة بالأسئلة التي يمكن استخدامها لمراجعة درس التربية الفنية قبل الامتحان.
